127.0.0.1 - - [05/Aug/2022:09:25:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:25:49 +0900] "GET /project/class_list.so HTTP/1.1" 200 21771
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:25:49 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:25:49 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:25:49 +0900] "GET /project/js/simple-datatables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:25:49 +0900] "GET /project/css/styles.css HTTP/1.1" 200 222894
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:25:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:25:57 +0900] "GET /project/;jsessionid=867296365B6545FDA559EA613CF8E65B HTTP/1.1" 200 11202
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:25:57 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:25:57 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:00 +0900] "GET /project/class_list.so HTTP/1.1" 200 21683
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:00 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:00 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:03 +0900] "GET /project/class_list.so?class_id=1 HTTP/1.1" 200 21683
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:03 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:03 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:10 +0900] "GET /project/student_list.so?class_id=1&dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98 HTTP/1.1" 200 19173
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:10 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:10 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:12 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15132
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:12 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:12 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:14 +0900] "GET /project/student_list.so?class_id=2&dis=1&class_name=%EA%B3%A02%20A-2%EB%B0%98 HTTP/1.1" 200 20952
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:14 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:14 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:15 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-2%EB%B0%98&student_id=sw HTTP/1.1" 200 15145
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:15 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
